Model	config_file	seed	epoch
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	80	0.0	0.196	nan	0.005	0.0	0.275	nan	0.006
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	81	0.0	0.223	nan	0.006	0.0	0.236	nan	0.007
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	82	0.0	0.262	nan	0.006	0.0	0.236	nan	0.008
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	83	0.0	0.196	nan	0.006	0.0	0.275	nan	0.009
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	84	0.0	0.17	nan	0.007	0.0	0.314	nan	0.009
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	85	0.0	0.196	nan	0.006	0.0	0.249	nan	0.009
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	86	0.0	0.196	nan	0.007	0.0	0.288	nan	0.01
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	87	0.0	0.21	nan	0.007	0.0	0.262	nan	0.01
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	88	0.0	0.21	nan	0.007	0.0	0.223	nan	0.011
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	89	0.0	0.21	nan	0.007	0.0	0.144	nan	0.011
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	90	0.0	0.236	nan	0.007	0.0	0.275	nan	0.011
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	91	0.0	0.118	nan	0.007	0.0	0.236	nan	0.012
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	92	0.0	0.196	nan	0.008	0.0	0.288	nan	0.013
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	93	0.0	0.144	nan	0.008	0.0	0.196	nan	0.012
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	94	0.0	0.183	nan	0.008	0.0	0.327	nan	0.012
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	95	0.0	0.131	nan	0.009	0.0	0.223	nan	0.012
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	96	0.0	0.196	nan	0.009	0.0	0.419	nan	0.012
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	97	0.0	0.21	nan	0.009	0.0	0.17	nan	0.012
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	98	0.0	0.196	nan	0.009	0.0	0.21	nan	0.013
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	99	0.0	0.275	nan	0.009	0.0	0.367	nan	0.013
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	100	0.0	0.196	nan	0.009	0.0	0.314	nan	0.013
