,index,epoch,Error,Disparity,model
243,gluon_xception65_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.3357778941854374,0.04821437899392311,gluon_xception65
210,gluon_xception65_MagFace_AdamW_rank_by_id_val,99,0.34186746987951805,0.2824072310069643,gluon_xception65
216,gluon_xception65_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.25157150340492407,0.4284642541924095,gluon_xception65
262,gluon_xception65_CosFace_AdamW_rank_by_id_val,99,0.607386066003143,0.16837259704140328,gluon_xception65
19,gluon_xception65_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.35954688318491357,0.3910743745429188,gluon_xception65
266,gluon_xception65_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.6997773703509691,0.09887931140561368,gluon_xception65
75,gluon_xception65_CosFace_SGD_rank_by_id_val,99,0.3148245154531168,0.35079655630204776,gluon_xception65
164,gluon_xception65_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.4133053954950236,0.4013571689164539,gluon_xception65
186,gluon_xception65_ArcFace_AdamW_rank_by_id_val,99,0.39752488213724463,0.05585521491989054,gluon_xception65
127,hrnet_w64_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.12048192771084337,0.3168735948797925,hrnet_w64
269,hrnet_w64_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.410620743844945,0.3818606940684224,hrnet_w64
130,hrnet_w64_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.2527501309586171,0.3504016913319239,hrnet_w64
351,hrnet_w64_ArcFace_AdamW_rank_by_id_val,99,0.41612100576217914,0.47012961145019705,hrnet_w64
289,hrnet_w64_ArcFace_SGD_rank_by_id_val,99,0.34435568360398117,0.4708455741474007,hrnet_w64
307,hrnet_w64_MagFace_SGD_rank_by_id_val,99,0.33335515976951285,0.41475415923945347,hrnet_w64
313,hrnet_w64_CosFace_sgd_rank_by_id_val,99,0.1360005238344683,0.19489486520334842,hrnet_w64
350,hrnet_w64_MagFace_AdamW_rank_by_id_val,99,0.3586301728653745,0.4523583049068486,hrnet_w64
278,hrnet_w64_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.20920639078051337,0.33696609423161605,hrnet_w64
50,hrnet_w64_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.29400209533787325,0.3807177915229807,hrnet_w64
315,hrnet_w64_CosFace_AdamW_rank_by_id_val,99,0.6132792037716082,0.44859682468694095,hrnet_w64
163,ig_resnext101_32x8d_CosFace_AdamW_rank_by_id_val,99,0.1705735987427973,0.19469725111441305,ig_resnext101_32x8d
183,ig_resnext101_32x8d_CosFace_SGD_rank_by_id_val,99,0.16972236773179675,0.36433786156547454,ig_resnext101_32x8d
162,ig_resnext101_32x8d_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.376178627553693,0.16312818817305885,ig_resnext101_32x8d
112,ig_resnext101_32x8d_MagFace_AdamW_rank_by_id_val,99,0.3334861183865898,0.3887842465753425,ig_resnext101_32x8d
95,ig_resnext101_32x8d_ArcFace_SGD_rank_by_id_val,99,0.28293609219486643,0.4007257871748625,ig_resnext101_32x8d
34,ig_resnext101_32x8d_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.4971843897328444,0.39111993151217994,ig_resnext101_32x8d
77,ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.4605814562598219,0.4007356768574105,ig_resnext101_32x8d
114,ig_resnext101_32x8d_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.4329491880565741,0.3660387101899759,ig_resnext101_32x8d
74,ig_resnext101_32x8d_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.25294656888423256,0.4708200212992545,ig_resnext101_32x8d
59,ig_resnext101_32x8d_MagFace_SGD_rank_by_id_val,99,0.2289156626506024,0.36775902019198936,ig_resnext101_32x8d
92,ig_resnext101_32x8d_ArcFace_AdamW_rank_by_id_val,99,0.34095075955997906,0.48746969611546476,ig_resnext101_32x8d
271,inception_resnet_v2_ArcFace_AdamW_rank_by_id_val,99,0.4171031953902567,0.32904380981824266,inception_resnet_v2
110,inception_resnet_v2_MagFace_AdamW_rank_by_id_val,99,0.31796752226296493,0.3455134286368544,inception_resnet_v2
172,inception_resnet_v2_ArcFace_SGD_rank_by_id_val,99,0.3708093242535359,0.4304142326748356,inception_resnet_v2
119,inception_resnet_v2_MagFace_SGD_rank_by_id_val,99,0.15570979570455737,0.45240082749609845,inception_resnet_v2
72,inception_resnet_v2_CosFace_SGD_rank_by_id_val,99,0.18242535358826611,0.2202297360555976,inception_resnet_v2
84,inception_resnet_v2_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.4777370350969094,0.41100741604866253,inception_resnet_v2
131,inception_resnet_v2_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.20095599790466212,0.02587390660309008,inception_resnet_v2
48,inception_resnet_v2_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.4688973284442116,0.4005207657850893,inception_resnet_v2
252,inception_resnet_v2_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.17751440544787847,0.46079076075788084,inception_resnet_v2
35,inception_resnet_v2_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.21149816657936094,0.008171769712731924,inception_resnet_v2
255,inception_resnet_v2_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.23363017286537455,0.4281217451683833,inception_resnet_v2
123,inception_resnet_v2_CosFace_AdamW_rank_by_id_val,99,0.6550550026191724,0.3796786523216308,inception_resnet_v2
57,inception_v4_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.3863933996856993,0.4092019146234249,inception_v4
218,inception_v4_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.6081063383970665,0.2203456717456156,inception_v4
86,inception_v4_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.33695652173913043,0.3843617920540997,inception_v4
20,inception_v4_CosFace_AdamW_rank_by_id_val,99,0.7185044525929806,0.3826890234435647,inception_v4
5,inception_v4_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.32556312205343113,0.4264526020223596,inception_v4
189,inception_v4_ArcFace_AdamW_rank_by_id_val,99,0.3366946045049764,0.37504705262365434,inception_v4
89,inception_v4_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.4612362493452069,0.22352367914239968,inception_v4
240,inception_v4_CosFace_SGD_rank_by_id_val,99,0.5873493975903614,0.36786062934623576,inception_v4
156,inception_v4_MagFace_AdamW_rank_by_id_val,99,0.2702331063383971,0.3656320102550017,inception_v4
136,inception_v4_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.5585385018334207,0.3675101730111553,inception_v4
279,inception_v4_MagFace_SGD_rank_by_id_val,99,0.4241094814038764,0.4671522741552453,inception_v4
176,inception_v4_ArcFace_SGD_rank_by_id_val,99,0.6215950759559979,0.4529186418165818,inception_v4
292,jx_nest_base_CosFace_SGD_rank_by_id_val,99,0.10718962807752751,0.3450274149690189,jx_nest_base
304,jx_nest_base_CosFace_AdamW_rank_by_id_val,99,0.09952854897852279,0.4664442193489444,jx_nest_base
308,jx_nest_base_ArcFace_SGD_rank_by_id_val,99,0.36321372446306965,0.3585240240622428,jx_nest_base
7,jx_nest_base_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.1326610790990047,0.43853161927839757,jx_nest_base
331,jx_nest_base_MagFace_AdamW_rank_by_id_val,99,0.3211760083813515,0.4692824457209619,jx_nest_base
339,jx_nest_base_MagFace_SGD_rank_by_id_val,99,0.8055264536406496,0.20793396521347163,jx_nest_base
65,legacy_senet154_CosFace_SGD_rank_by_id_val,99,0.19853326348873757,0.34253335770425886,legacy_senet154
138,legacy_senet154_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.2658459926663174,0.32223278160555424,legacy_senet154
30,legacy_senet154_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.45436092194866423,0.2539336475303373,legacy_senet154
73,legacy_senet154_CosFace_AdamW_rank_by_id_val,99,0.2278679937139864,0.19945080223129574,legacy_senet154
254,legacy_senet154_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.427317967522263,0.39275937495906854,legacy_senet154
12,legacy_senet154_MagFace_AdamW_rank_by_id_val,99,0.18458617077003667,0.36050264172497504,legacy_senet154
148,legacy_senet154_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.40034049240440023,0.3222614232854316,legacy_senet154
280,legacy_senet154_ArcFace_AdamW_rank_by_id_val,99,0.24305919329491882,0.43541135010329324,legacy_senet154
109,legacy_senet154_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.551794133053955,0.10451765701961635,legacy_senet154
90,legacy_senet154_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.47970141435306446,0.3610202895909044,legacy_senet154
94,legacy_senet154_MagFace_SGD_rank_by_id_val,99,0.39804871660555263,0.37342531889353503,legacy_senet154
227,mobilenetv3_large_100_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.9363541121005762,0.24400999985493443,mobilenetv3_large_100
152,mobilenetv3_large_100_MagFace_AdamW_0.001_cosine_rank_by_id_val,99,0.43386589837611317,0.43060789775520236,mobilenetv3_large_100
233,mobilenetv3_large_100_CosFace_SGD_rank_by_id_val,99,0.13626244106862231,0.3377087582544075,mobilenetv3_large_100
28,mobilenetv3_large_100_ArcFace_SGD_rank_by_id_val,99,0.9146804609743321,0.35245047938871854,mobilenetv3_large_100
209,mobilenetv3_large_100_CosFace_AdamW_rank_by_id_val,99,0.21739130434782608,0.17897311355689904,mobilenetv3_large_100
140,mobilenetv3_large_100_MagFace_SGD_rank_by_id_val,99,0.13665531691985333,0.39405597964376593,mobilenetv3_large_100
111,mobilenetv3_large_100_ArcFace_AdamW_0.001_cosine_rank_by_id_val,99,0.9902435830277633,0.0248787254568843,mobilenetv3_large_100
273,mobilenetv3_large_100_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.143530644316396,0.377607671601615,mobilenetv3_large_100
125,mobilenetv3_large_100_MagFace_SGD_0.1_cosine_rank_by_id_val,99,0.14123886851754847,0.3510115170599146,mobilenetv3_large_100
256,mobilenetv3_large_100_CosFace_RMSpropTF_rank_by_id_val,99,0.21261131482451545,0.181664694507778,mobilenetv3_large_100
79,mobilenetv3_large_100_CosFace_SGD_0.1_cosine_rank_by_id_val,99,0.13475641697223678,0.20141628730399597,mobilenetv3_large_100
212,mobilenetv3_large_100_MagFace_AdamW_rank_by_id_val,99,0.4182163436354112,0.4427339417835656,mobilenetv3_large_100
232,resnetrs101_ArcFace_SGD_0.1_cosine_rank_by_id_val,99,0.34199842849659506,0.34058406441533473,resnetrs101
142,resnetrs101_ArcFace_AdamW_rank_by_id_val,99,0.268137768465165,0.4267890619949576,resnetrs101
193,resnetrs101_MagFace_AdamW_rank_by_id_val,99,0.18471712938711368,0.36156536817244156,resnetrs101
126,resnetrs101_CosFace_AdamW_0.001_cosine_rank_by_id_val,99,0.3013357778941854,0.14158363922391193,resnetrs101
