Model	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
xcit_tiny_12_p16_384_dist	222	-1	0.0	20.272	0.162	0.024	0.0	11.406	0.157	0.022
resnetv2_101x1_bitm_in21k	222	0	0.0	4.256	0.097	0.008	0.0	3.169	0.094	0.005
xcit_tiny_12_p16_224_dist	222	-1	0.0	20.272	0.162	0.024	0.0	11.406	0.157	0.022
xcit_tiny_24_p16_224	222	-1	0.0	0.196	nan	0.0	0.0	0.0	nan	0.0
ecaresnet50t	222	2	0.0	15.335	16.165	6.536	0.0	12.978	19.193	7.1
tf_mobilenetv3_small_075	222	1	0.0	12.362	6.868	2.517	0.0	8.709	7.128	2.297
tf_mixnet_l	222	0	0.0	2.724	17.28	0.756	0.0	1.493	17.908	0.685
ssl_resnet18	222	2	0.0	14.366	15.58	6.171	0.0	11.027	16.367	5.533
tf_efficientnetv2_b0	222	1	0.0	10.634	25.486	8.274	0.0	7.452	27.83	8.282
resnetblur50	222	1	0.0	7.019	17.597	5.047	0.0	5.723	19.814	4.707
semnasnet_075	222	2	0.0	1.716	14.09	2.202	0.0	1.467	16.146	1.948
tf_efficientnet_el	222	0	0.0	2.226	19.443	1.399	0.0	1.951	18.045	0.948
tf_mobilenetv3_large_075	222	1	0.0	14.772	11.384	3.74	0.0	10.071	9.694	3.207
tf_mobilenetv3_small_075	222	2	0.0	23.808	8.471	4.224	0.0	17.863	7.315	3.546
resnetrs50	222	1	0.0	5.657	19.437	4.252	0.0	5.671	20.408	4.485
xcit_tiny_12_p16_384_dist	222	0	0.0	9.35	4.604	1.509	0.0	8.368	4.713	1.412
xcit_tiny_12_p16_224_dist	222	0	0.0	9.35	4.604	1.509	0.0	8.368	4.713	1.412
tf_efficientnetv2_b0	222	2	0.0	20.809	23.97	10.931	0.0	14.209	25.176	9.835
resnext50d_32x4d	222	1	0.0	8.735	20.265	6.03	0.0	8.028	18.997	5.426
resnet101d	222	1	0.0	7.111	20.859	5.524	0.0	5.657	23.869	5.989
tf_mobilenetv3_large_075	222	2	0.0	30.304	13.371	6.416	0.0	21.739	11.899	5.181
xcit_nano_12_p8_224_dist	222	0	0.0	8.355	3.524	0.984	0.0	6.823	3.911	1.009
xcit_tiny_24_p16_224	222	0	0.0	2.279	nan	0.001	0.0	0.38	nan	0.001
tf_mixnet_l	222	1	0.0	1.493	16.034	1.263	0.0	0.917	16.431	0.987
gluon_resnet101_v1c	222	2	0.0	11.865	17.659	5.874	0.0	9.442	17.648	5.296
resnetblur50	222	2	0.0	14.798	14.747	6.097	0.0	10.293	20.293	6.722
xcit_tiny_12_p16_384_dist	222	1	0.0	34.468	9.66	6.178	0.0	27.292	9.31	5.382
resnetv2_101x1_bitm_in21k	222	1	0.0	1.414	nan	0.0	0.0	0.065	nan	0.0
xcit_tiny_12_p16_224_dist	222	1	0.0	34.468	9.66	6.178	0.0	27.292	9.31	5.382
tf_efficientnet_el	222	1	0.0	2.239	17.452	1.281	0.0	1.637	16.538	1.026
resnetrs50	222	2	0.0	11.276	16.888	5.391	0.0	9.023	19.344	5.788
xcit_tiny_12_p16_384_dist	222	2	0.0	52.75	17.399	13.512	0.0	42.431	15.651	10.839
resnext50d_32x4d	222	2	0.0	21.32	17.361	7.971	0.0	15.715	19.503	8.068
xcit_tiny_12_p16_224_dist	222	2	0.0	52.75	17.399	13.512	0.0	42.431	15.651	10.839
tf_mixnet_l	222	2	0.0	4.715	14.063	2.654	0.0	3.051	14.352	1.96
xcit_tiny_24_p16_224	222	1	0.0	10.647	nan	0.018	0.0	1.519	nan	0.013
resnet101d	222	2	0.0	16.16	19.739	8.242	0.0	11.917	22.11	8.095
xcit_nano_12_p8_224_dist	222	1	0.0	31.247	9.256	5.715	0.0	24.293	9.671	5.425
resnetv2_101x1_bitm_in21k	222	2	0.0	1.27	nan	0.0	0.0	0.105	nan	0.0
tf_efficientnet_el	222	2	0.0	3.876	18.954	2.686	0.0	2.357	19.045	2.275
xcit_tiny_24_p16_224	222	2	0.0	25.55	3.104	0.061	0.0	16.606	3.446	0.055
xcit_nano_12_p8_224_dist	222	2	0.0	50.576	16.504	12.644	0.0	41.737	13.338	9.212
ese_vovnet19b_dw	222	-1	0.0	7.805	5.577	1.333	0.0	7.596	5.246	1.24
fbnetv3_d	222	-1	0.0	13.188	36.82	14.709	0.0	11.524	35.467	13.461
adv_inception_v3	222	-1	0.0	12.795	3.266	1.237	0.0	9.678	3.149	1.145
fbnetv3_b	222	-1	0.0	16.265	24.578	10.534	0.0	14.379	23.681	9.683
ese_vovnet39b	222	-1	0.0	11.734	2.751	0.938	0.0	10.974	2.636	0.877
convmixer_1024_20_ks9_p14	222	-1	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
efficientnet_lite0	222	-1	0.0	13.502	4.335	1.606	0.0	10.621	4.169	1.474
efficientnet_es	222	-1	0.0	14.209	2.67	1.006	0.0	11.564	2.648	0.941
gcresnet33ts	222	-1	0.0	4.859	28.028	5.505	0.0	4.531	26.05	4.873
gernet_s	222	-1	0.0	3.916	5.979	1.1	0.0	3.497	5.525	0.999
fbnetv3_g	222	-1	0.0	14.17	17.946	6.459	0.0	12.847	18.386	6.304
gcresnet50t	222	-1	0.0	7.163	7.748	1.813	0.0	6.404	7.224	1.654
eca_nfnet_l1	222	-1	0.0	4.034	12.583	2.259	0.0	4.439	11.389	1.929
gluon_resnet50_v1c	222	-1	0.0	7.281	7.175	1.863	0.0	6.574	6.693	1.721
gluon_seresnext50_32x4d	222	-1	0.0	6.6	8.111	1.787	0.0	6.299	7.529	1.658
hardcorenas_b	222	-1	0.0	6.548	8.321	2.621	0.0	5.147	8.208	2.495
lcnet_100	222	-1	0.0	14.589	34.526	14.035	0.0	11.079	32.274	12.167
legacy_seresnext50_32x4d	222	-1	0.0	7.281	6.807	1.545	0.0	7.032	6.289	1.42
ese_vovnet19b_dw	222	0	0.0	7.805	23.864	7.128	0.0	5.932	28.869	8.904
fbnetv3_b	222	0	0.0	2.816	nan	0.194	0.0	0.838	nan	0.228
fbnetv3_d	222	0	0.0	0.799	21.661	1.681	0.0	0.576	23.27	1.648
adv_inception_v3	222	0	0.0	2.658	33.237	7.504	0.0	2.2	27.546	5.763
gcresnet33ts	222	0	0.0	3.628	34.996	7.094	0.0	2.92	33.777	6.398
efficientnet_es	222	0	0.0	3.392	15.345	1.086	0.0	2.344	16.395	1.009
efficientnet_lite0	222	0	0.0	0.694	22.81	1.509	0.0	0.406	23.225	1.375
gernet_s	222	0	0.0	2.397	23.352	2.709	0.0	1.768	23.8	2.947
regnetz_b16	222	-1	0.0	7.923	38.422	10.749	0.0	7.347	37.381	9.965
